Time;EMG1;EMG2;EMG3;EMG4;
20;-33,04371;-7,530706;-25,53234;-38,93085;
44;-33,92477;-6,25496;-18,05942;-39,61288;
64;-32,98007;-4,460078;-24,75511;-42,59148;
84;-36,24101;-10,17197;-24,87057;-39,37727;
101;-35,4967;-4,953571;-20,07186;-38,4499;
119;-33,52666;-7,357784;-28,73497;-35,02081;
138;-35,74094;-7,411529;-26,88239;-39,57496;
158;-34,45796;-5,081181;-26,86218;-27,73163;
182;-33,2808;-7,273598;-24,48829;-45,06178;
204;-33,27378;-5,696833;-24,76066;-54,32895;
225;-34,17517;-2,925058;-27,91806;-39,2876;
246;-34,52682;-5,332632;-23,62028;-48,85994;
264;-34,52682;-5,332632;-23,62028;-48,85994;
283;-35,25154;-6,601031;-27,34151;-50,9707;
304;-31,44279;-4,282728;-22,58007;-33,16571;
424;-32,5907;-10,54843;-23,26513;-21,89661;
447;-34,85931;-3,874487;-19,84513;-42,53807;
469;-34,39005;-5,714952;-24,30274;-52,97737;
490;-31,40287;-8,389071;-29,83945;-9,593945;
508;-34,25243;-4,701968;-23,43449;-7,801284;
527;-35,21941;-8,814374;-24,36955;-31,84706;
545;-35,23881;-5,330984;-14,60502;-27,10905;
565;-31,56368;-7,774469;-23,0254;-12,90029;
589;-37,12951;-4,966941;-18,09406;-20,50474;
608;-30,93789;-2,15017;-23,93655;-32,65817;
628;-32,00594;-6,762855;-3,364975;-22,91746;
646;-35,44591;-3,027438;-22,36759;-63,03726;
665;-33,73034;-7,290407;-8,96592;-66,36931;
681;-33,73034;-7,290407;-8,96592;-66,36931;
701;-36,00932;-5,876626;5,103522;-22,41482;
723;-35,26416;-8,403061;-45,28159;-46,1389;
743;-32,19298;-1,254343;-82,42392;-48,75926;
763;-37,95418;-7,386908;-37,82694;-32,88942;
782;-35,36434;-3,200396;-80,98024;-31,48395;
802;-33,78398;-8,692886;-13,20224;-28,88943;
821;-32,1517;-7,353296;-18,33076;-34,61253;
838;-34,90438;-7,290184;-1,57134;-37,54971;
857;-32,21241;-9,994623;-56,06056;-45,4784;
876;-35,89186;-7,998821;-18,28268;-40,47875;
893;-30,25184;-5,316225;-42,53318;-44,59801;
912;-34,31908;-5,026209;-34,80532;-48,0994;
933;-32,81439;-6,373044;-33,43382;-39,96879;
950;-33,39789;-5,04751;-31,60949;-37,2893;
969;-31,52686;-9,72567;-18,27296;-37,43686;
987;-34,90928;-9,184135;-31,74746;-35,67083;
1005;-32,72176;-5,56135;-12,38129;-47,46989;
