Time;EMG1;EMG2;EMG3;EMG4;EMG1_F;EMG2_F;EMG3_F;EMG4_F;
11;0;0;0;0;30;30;30;30;
25;0;0;0;0;30;30;30;30;
36;0;0;0;0;30;30;30;30;
50;0;0;0;0;30;30;30;30;
59;0;0;0;0;30;30;30;30;
69;0;0;0;0;30;30;30;30;
82;0;0;0;0;30;30;30;30;
92;0;0;0;0;30;30;30;30;
106;0;0;0;0;30;30;30;30;
118;0;0;0;0;30;30;30;30;
128;0;0;0;0;30;30;30;30;
138;0;0;0;0;30;30;30;30;
149;0;0;0;0;30;30;30;30;
160;0;0;0;0;30;30;30;30;
170;0;0;0;0;30;30;30;30;
180;0;0;0;0;30;30;30;30;
190;0;0;0;0;30;30;30;30;
200;0;0;0;0;30;30;30;30;
211;0;0;0;0;30;30;30;30;
222;0;0;0;0;30;30;30;30;
232;0;0;0;0;30;30;30;30;
243;0;0;0;0;30;30;30;30;
252;0;0;0;0;30;30;30;30;
263;0;0;0;0;30;30;30;30;
279;0;0;0;0;30;30;30;30;
289;0;0;0;0;30;30;30;30;
298;0;0;0;0;30;30;30;30;
309;0;0;0;0;30;30;30;30;
319;0;0;0;0;30;30;30;30;
330;0;0;0;0;30;30;30;30;
340;0;0;0;0;30;30;30;30;
351;0;0;0;0;30;30;30;30;
361;0;0;0;0;30;30;30;30;
371;0;0;0;0;30;30;30;30;
381;0;0;0;0;30;30;30;30;
391;0;0;0;0;30;30;30;30;
401;0;0;0;0;30;30;30;30;
413;0;0;0;0;30;30;30;30;
425;0;0;0;0;30;30;30;30;
435;0;0;0;0;30;30;30;30;
446;0;0;0;0;30;30;30;30;
456;0;0;0;0;30;30;30;30;
465;0;0;0;0;30;30;30;30;
476;0;0;0;0;30;30;30;30;
488;0;0;0;0;30;30;30;30;
499;0;0;0;0;30;30;30;30;
510;0;0;0;0;30;30;30;30;
521;0;0;0;0;30;30;30;30;
531;0;0;0;0;30;30;30;30;
540;0;0;0;0;30;30;30;30;
552;0;0;0;0;30;30;30;30;
562;0;0;0;0;30;30;30;30;
572;0;0;0;0;30;30;30;30;
583;0;0;0;0;30;30;30;30;
593;0;0;0;0;30;30;30;30;
603;0;0;0;0;30;30;30;30;
615;0;0;0;0;30;30;30;30;
624;0;0;0;0;30;30;30;30;
633;0;0;0;0;30;30;30;30;
644;0;0;0;0;30;30;30;30;
653;0;0;0;0;30;30;30;30;
664;0;0;0;0;30;30;30;30;
674;0;0;0;0;30;30;30;30;
685;0;0;0;0;30;30;30;30;
695;0;0;0;0;30;30;30;30;
706;0;0;0;0;30;30;30;30;
716;0;0;0;0;30;30;30;30;
727;0;0;0;0;30;30;30;30;
737;0;0;0;0;30;30;30;30;
746;0;0;0;0;30;30;30;30;
757;0;0;0;0;30;30;30;30;
767;0;0;0;0;30;30;30;30;
780;0;0;0;0;30;30;30;30;
790;0;0;0;0;30;30;30;30;
800;0;0;0;0;30;30;30;30;
811;0;0;0;0;30;30;30;30;
822;0;0;0;0;30;30;30;30;
833;0;0;0;0;30;30;30;30;
844;0;0;0;0;30;30;30;30;
854;0;0;0;0;30;30;30;30;
864;0;0;0;0;30;30;30;30;
875;0;0;0;0;30;30;30;30;
886;0;0;0;0;30;30;30;30;
896;0;0;0;0;30;30;30;30;
906;0;0;0;0;30;30;30;30;
916;0;0;0;0;30;30;30;30;
926;0;0;0;0;30;30;30;30;
936;0;0;0;0;30;30;30;30;
947;0;0;0;0;30;30;30;30;
959;0;0;0;0;30;30;30;30;
970;0;0;0;0;30;30;30;30;
981;0;0;0;0;30;30;30;30;
991;0;0;0;0;30;30;30;30;
1001;0;0;0;0;30;30;30;30;
1014;0;0;0;0;30;30;30;30;
1025;0;0;0;0;30;30;30;30;
1034;0;0;0;0;30;30;30;30;
1045;0;0;0;0;30;30;30;30;
1055;0;0;0;0;30;30;30;30;
1066;0;0;0;0;30;30;30;30;
1077;0;0;0;0;30;30;30;30;
1089;0;0;0;0;30;30;30;30;
1101;0;0;0;0;30;30;30;30;
1112;0;0;0;0;30;30;30;30;
